size,average_time,average_memory,average_flops
5,0.0009495735168457032,5626.2,675.0
7,0.0032824039459228515,5940.4,3036.0
9,0.006685113906860352,6780.2,8441.0
11,0.009475088119506836,7298.6,18818.0
13,0.01819748878479004,8415.0,36575.0
15,0.036323165893554686,8967.0,64600.0
17,0.05207557678222656,10359.0,106261.0
19,0.056649637222290036,11343.0,165406.0
21,0.06768884658813476,13263.0,246363.0
23,0.08925714492797851,15375.0,353940.0
25,0.12586336135864257,17679.0,493425.0
27,0.18145694732666015,20175.0,670586.0
29,0.25546693801879883,22863.0,891671.0
31,0.3580041408538818,25743.0,1163408.0
33,0.444753360748291,28935.0,1493005.0
35,0.43765554428100584,32079.0,1888150.0
37,0.4546031475067139,35535.0,2357011.0
39,0.4900652885437012,39183.0,2908236.0
41,0.5302441120147705,43023.0,3550953.0
43,0.5962653636932373,47055.0,4294770.0
45,0.6802513122558593,51279.0,5149775.0
47,0.7945136547088623,55695.0,6126536.0
49,0.9473266124725341,60303.0,7236101.0
51,1.1116092205047607,65103.0,8489998.0
53,1.3502764225006103,70095.0,9900235.0
55,1.5916411876678467,75279.0,11479300.0
57,1.887479591369629,80655.0,13240161.0
59,2.269900989532471,86223.0,15196266.0
61,2.6461448192596437,91983.0,17361543.0
63,3.125562143325806,97935.0,19750400.0
65,3.474366807937622,104199.0,22377725.0
67,3.464872407913208,110415.0,25258886.0
69,3.50052547454834,116943.0,28409731.0
71,3.5706759452819825,123663.0,31846588.0
73,3.6305103302001953,130575.0,35586265.0
75,3.7218117713928223,137679.0,39646050.0
77,3.929061937332153,144975.0,44043711.0
79,3.987452268600464,152463.0,48797496.0
81,4.181825351715088,160143.0,53926133.0
83,4.362944459915161,168015.0,59448830.0
85,4.6273641109466555,176079.0,65385275.0
87,5.0362598419189455,184335.0,71755636.0
89,5.360284900665283,192783.0,78580561.0
91,5.699723386764527,201423.0,85881178.0
93,6.139696931838989,210255.0,93679095.0
95,6.665145778656006,219279.0,101996400.0
97,7.425448751449585,228495.0,110855661.0
99,8.155456018447875,237903.0,120279926.0
101,8.651421165466308,247503.0,130292723.0
103,9.520438432693481,257295.0,140918060.0
105,10.23139500617981,267279.0,152180425.0
107,11.338830614089966,277455.0,164104786.0
109,12.201245641708374,287823.0,176716591.0
111,13.494035291671754,298383.0,190041768.0
113,15.035141754150391,309135.0,204106725.0
115,16.49837737083435,320079.0,218938350.0
117,18.033277177810668,331215.0,234564011.0
119,19.442557716369627,342543.0,251011556.0
121,21.010801839828492,354063.0,268309313.0
123,22.739632606506348,365775.0,286486090.0
125,24.84331603050232,377679.0,305571175.0
127,26.930787134170533,389775.0,325594336.0
129,28.694861268997194,402183.0,346585821.0
131,27.678745365142824,414543.0,368576358.0
133,27.74263243675232,427215.0,391597155.0
135,28.547531127929688,440079.0,415679900.0
137,28.109129095077513,453135.0,440856761.0
139,28.680382537841798,466383.0,467160386.0
141,28.980145359039305,479823.0,494623903.0
143,29.444836378097534,493455.0,523280920.0
145,29.498075675964355,507279.0,553165525.0
147,29.43862028121948,521295.0,584312286.0
149,30.36875686645508,535503.0,616756251.0
151,32.175048160552976,549903.0,650532948.0
153,34.56312313079834,564495.0,685678385.0
155,40.48112387657166,579279.0,722229050.0
157,38.32687153816223,594255.0,760221911.0
159,34.67445549964905,609423.0,799694416.0
161,35.8557701587677,624783.0,840684493.0
163,37.15729098320007,640335.0,883230550.0
165,36.4012170791626,656079.0,927371475.0
167,35.806670570373534,672015.0,973146636.0
169,36.830900239944455,688143.0,1020595881.0
171,37.68438892364502,704466.2,1069759538.0
173,38.81994581222534,720983.0,1120678415.0
175,40.28334460258484,737687.0,1173393800.0
177,42.10361723899841,754583.0,1227947461.0
179,43.09655938148499,771671.0,1284381646.0
181,44.72040023803711,788951.0,1342739083.0
183,46.46310396194458,806423.0,1403062980.0
185,48.02012877464294,824087.0,1465397025.0
187,50.89123659133911,841943.0,1529785386.0
189,52.35613012313843,859991.0,1596272711.0
191,54.46859936714172,878231.0,1664904128.0
193,57.10432214736939,896663.0,1735725245.0
195,60.744355869293216,915287.0,1808782150.0
197,62.378510570526124,934103.0,1884121411.0
199,66.35373153686524,953111.0,1961790076.0
