size,average_time,average_memory,average_flops
5,0.00029053688049316404,6283.0,807.0
7,0.0007449626922607422,7136.6,3499.0
9,0.0015450477600097655,8343.0,10326.0
11,0.0023711204528808595,10142.0,22842.0
13,0.00457916259765625,11136.6,43490.0
15,0.005991220474243164,13102.6,74713.0
17,0.009661531448364258,14609.4,126234.0
19,0.012006187438964843,16945.4,199222.0
21,0.015336084365844726,19807.0,293166.0
23,0.018653106689453126,23269.6,412357.0
25,0.02985239028930664,26551.0,566497.0
27,0.03431825637817383,30351.0,759114.0
29,0.03968658447265625,34455.0,991223.0
31,0.045497989654541014,39138.2,1269299.0
33,0.06562933921813965,43575.0,1648110.0
35,0.07247371673583984,48591.0,2118738.0
37,0.08063335418701172,53911.0,2653106.0
39,0.09231772422790527,59535.0,3260209.0
41,0.10366153717041016,65463.0,3947229.0
43,0.11552391052246094,71650.2,4723910.0
45,0.1259397029876709,78175.0,5594291.0
47,0.13964314460754396,85152.6,6570223.0
49,0.20333824157714844,92159.0,7692551.0
51,0.22858810424804688,99607.0,8962822.0
53,0.23679986000061035,107359.0,10362465.0
55,0.25774850845336916,115415.0,11906523.0
57,0.2746718883514404,123775.0,13591258.0
59,0.32164926528930665,132439.0,15436326.0
61,0.3171103477478027,141407.0,17452150.0
63,0.34750933647155763,150954.2,19657301.0
65,0.4518126487731934,160255.0,22388262.0
67,0.4870426177978516,170135.0,25554754.0
69,0.510874605178833,180319.0,28939098.0
71,0.5977438926696778,190818.2,32563729.0
73,0.5548911094665527,201655.0,36405589.0
75,0.6020182132720947,212751.0,40497942.0
77,0.6294671058654785,224106.2,44860955.0
79,0.6651349067687988,235799.0,49521263.0
81,0.7230590343475342,247807.0,54456375.0
83,0.8022718906402588,260119.0,59703286.0
85,0.8201919555664062,272735.0,65279377.0
87,0.871992826461792,285655.0,71215819.0
89,0.8810309886932373,298879.0,77461834.0
91,0.9695395469665528,312407.0,84067990.0
93,0.9888444423675538,326239.0,91067558.0
95,1.067672061920166,340512.6,98496581.0
97,1.4688909530639649,354815.0,106536289.0
99,1.5299933910369874,369559.0,115164282.0
101,1.59528546333313,384607.0,124255631.0
103,1.7048451900482178,399959.0,133851587.0
105,1.6641700267791748,415615.0,143865252.0
107,1.7943361282348633,431575.0,154368194.0
109,1.8129613876342774,447850.2,165410148.0
111,1.9463887691497803,464429.4,177037909.0
113,2.037721633911133,481279.0,189082658.0
115,2.1573940753936767,498455.0,201648086.0
117,2.2323043823242186,515935.0,214833894.0
119,2.3844439029693603,533719.0,228692757.0
121,2.3857549667358398,551807.0,243093257.0
123,2.4929573059082033,570199.0,258131658.0
125,2.5683045387268066,588895.0,273877519.0
127,2.677836465835571,608170.2,290389731.0
129,3.3517842292785645,627199.0,309837006.0
131,3.5502756118774412,646807.0,331554162.0
133,3.785563325881958,666719.0,354071570.0
135,3.9753814697265626,686935.0,377454673.0
137,4.013678121566772,707455.0,401519133.0
139,4.315498781204224,728279.0,426389606.0
141,4.3249565124511715,749407.0,452158835.0
143,4.528050231933594,770839.0,478899151.0
145,4.987091207504273,792586.2,506212415.0
147,5.2728844165802,814615.0,534300262.0
149,5.370752954483033,836959.0,563391081.0
151,5.62928204536438,859607.0,593564427.0
153,5.71229772567749,882559.0,624574642.0
155,5.9085406303405765,905815.0,656578470.0
157,6.080610513687134,929375.0,689695198.0
159,6.28610315322876,953239.0,724011941.0
161,6.627084350585937,977407.0,759078417.0
163,6.894064235687256,1001879.0,795125738.0
165,6.409871673583984,1026655.0,832401599.0
167,5.885845041275024,1051735.0,871001011.0
169,5.804847621917725,1077119.0,910608596.0
171,6.176725816726685,1102807.0,951416882.0
173,6.261651468276978,1128799.0,993575060.0
175,6.541238069534302,1155095.0,1037186373.0
177,6.539306592941284,1181699.8,1081540370.0
179,6.661789655685425,1208607.0,1126967878.0
181,6.805742835998535,1235826.2,1173872342.0
183,6.97750940322876,1263327.0,1222365573.0
185,7.241398334503174,1291143.0,1272054073.0
187,7.625242567062378,1319263.0,1323169850.0
189,7.812805271148681,1347687.0,1375895359.0
191,8.197495174407958,1376552.6,1430351315.0
193,11.38681263923645,1405447.0,1487383115.0
195,11.231304502487182,1434783.0,1546816858.0
197,11.69224648475647,1464423.0,1607998821.0
199,12.063737487792968,1494367.0,1671058959.0
