size,average_time,average_memory,average_flops
5,0.004335165023803711,74598.0,9113.0
7,0.016369104385375977,79636.0,86598.0
9,0.032896995544433594,81726.0,370017.0
11,0.04613232612609863,87049.0,1134171.0
13,0.08855271339416504,90428.0,2995884.0
15,0.17150473594665527,97109.0,7021886.0
17,0.21686863899230957,91470.0,13967018.0
19,0.28603291511535645,99714.0,24795258.0
21,0.30669403076171875,97703.0,42730875.0
23,0.49421191215515137,111337.0,71443663.0
25,0.5970339775085449,112857.0,114050934.0
27,0.7702534198760986,111585.0,174454276.0
29,1.3174643516540527,119185.0,262908506.0
31,1.6726210117340088,119555.0,389447990.0
33,2.0770657062530518,126295.0,544480135.0
35,2.3726601600646973,142811.0,725801354.0
37,2.1735849380493164,149513.0,964804962.0
39,2.3537631034851074,136698.0,1277265205.0
41,2.3867337703704834,157774.0,1667870717.0
43,3.0253679752349854,158643.0,2146245510.0
45,3.3992104530334473,159270.0,2757518489.0
47,3.954904079437256,166294.0,3531871188.0
49,4.124923944473267,165483.0,4433793951.0
51,5.406334638595581,179421.0,5461618813.0
53,6.08777642250061,188054.0,6726060882.0
55,7.191433906555176,186489.0,8272395680.0
57,8.123213768005371,195475.0,10096685632.0
59,9.588579416275024,210610.0,12219409110.0
61,12.6737380027771,234014.0,14782625314.0
63,14.530627965927124,220283.0,17859060954.0
65,16.736610889434814,233901.0,21052523044.0
67,16.600743293762207,235457.0,24271576832.0
69,16.77379322052002,275320.0,28026576500.0
71,17.8613440990448,260724.0,32396754342.0
73,15.26090669631958,301258.0,37313055146.0
75,14.499098539352417,279648.0,42790284322.0
77,17.68411946296692,319306.0,49146194693.0
79,20.16881251335144,316496.0,56499382173.0
