size,average_time,average_memory,average_flops
5,0.007632017135620117,36630.0,1221.0
7,0.017350196838378906,43876.0,20951.0
9,0.04919147491455078,74634.0,100763.0
11,0.07620668411254883,78797.0,358534.0
13,0.12136220932006836,85800.0,1063332.0
15,0.1578834056854248,84019.0,2766839.0
17,0.22405481338500977,87016.0,5687179.0
19,0.26618337631225586,89275.0,10365312.0
21,0.3112938404083252,92369.0,18409516.0
23,0.6597096920013428,98414.0,31941305.0
25,0.4669375419616699,99283.0,52317216.0
27,0.6178603172302246,100913.0,81992491.0
29,0.9942891597747803,106987.0,126645026.0
31,2.0405194759368896,108697.0,192575235.0
33,1.9851078987121582,126027.0,271501135.0
35,2.5335707664489746,136761.0,362757571.0
37,2.268587827682495,127129.0,484659956.0
39,2.2893123626708984,115946.0,647432538.0
41,2.139822006225586,136531.0,851460832.0
43,2.8798344135284424,163458.0,1103910018.0
45,3.164318084716797,192570.0,1431340072.0
47,3.533984899520874,144249.0,1854045574.0
49,4.140878200531006,183976.0,2342663864.0
51,5.66689133644104,197330.0,2899005359.0
53,7.377538442611694,224821.0,3591370327.0
55,9.870333671569824,189682.0,4451044218.0
57,9.302302360534668,227855.0,5468349494.0
59,6.890261173248291,217162.0,6660764309.0
61,8.186678409576416,222994.0,8115936306.0
63,10.016714334487915,271146.0,9885243707.0
65,10.108081340789795,251504.0,11679794699.0
67,10.56800365447998,267218.0,13450943236.0
69,11.45491647720337,309517.0,15531690027.0
71,13.134402513504028,287133.0,17979506594.0
73,13.335982322692871,329191.0,20731712118.0
75,12.667219877243042,343552.0,23807861261.0
77,11.230888366699219,353484.0,27407813459.0
79,13.40685224533081,392538.0,31618303722.0
