size,average_time,average_memory,average_flops
5,0.005133867263793945,29668.0,3203.0
7,0.02215123176574707,56012.0,29004.0
9,0.06035304069519043,55378.0,125849.0
11,0.0739743709564209,53113.0,384858.0
13,0.1227414608001709,57339.0,965807.0
15,0.2863447666168213,72785.0,2097908.0
17,0.380342960357666,82060.0,4121357.0
19,0.3770406246185303,76030.0,7447640.0
21,0.3757011890411377,82121.0,12663697.0
23,0.542893648147583,82964.0,20451852.0
25,0.7555928230285645,83659.0,31726009.0
27,1.0180997848510742,91230.0,47442170.0
29,1.5149383544921875,92198.0,68904891.0
31,2.2031655311584473,101954.0,97485736.0
33,2.9595322608947754,92171.0,134970533.0
35,2.6434133052825928,93891.0,183024286.0
37,2.730091094970703,107995.0,243962345.0
39,2.888308525085449,133768.0,320065682.0
41,3.2292044162750244,103806.0,414307139.0
43,3.418088674545288,154411.0,529297170.0
45,4.318918466567993,148451.0,668695177.0
47,5.895655155181885,154275.0,835916508.0
49,6.9225170612335205,172483.0,1035450037.0
51,8.374494791030884,145182.0,1270894032.0
53,9.671720504760742,176008.0,1547559689.0
55,9.293134450912476,161615.0,1870194580.0
57,12.61665678024292,228235.0,2245154861.0
59,13.65290904045105,239287.0,2677334862.0
61,14.967324256896973,189267.0,3174083031.0
63,17.659393072128296,226095.0,3741693812.0
65,20.186912059783936,273271.0,4388740877.0
67,20.927161693572998,262535.0,5121170180.0
69,21.02689480781555,264687.0,5948654453.0
71,22.08028268814087,279114.0,6879199380.0
73,27.952746868133545,305135.0,7923996359.0
75,25.45595932006836,343431.0,9090682500.0
77,26.47280263900757,325889.0,10391735945.0
79,27.027281999588013,318983.0,11837089106.0
