size,average_time,average_memory,average_flops
5,0.016073942184448242,72177.0,76134.0
7,0.024835586547851562,81207.0,503910.0
9,0.10757231712341309,88716.0,2200325.0
11,0.13246941566467285,89881.0,8093965.0
13,0.14063286781311035,94994.0,18857114.0
15,0.15412044525146484,101526.0,36035832.0
17,0.7323369979858398,103291.0,68728056.0
19,1.08768892288208,98299.0,162699334.0
21,1.113584280014038,117625.0,307095569.0
23,1.106048822402954,129070.0,497568877.0
25,1.0184416770935059,121947.0,729338029.0
27,1.1756253242492676,135691.0,1013874319.0
29,1.080935001373291,135637.0,1368536360.0
31,0.985015869140625,131791.0,1806260216.0
33,4.196513414382935,141843.0,2425537985.0
35,5.6086742877960205,148428.0,3990511091.0
37,5.348870515823364,166093.0,6174303488.0
39,5.695465803146362,162879.0,8742026778.0
41,5.5146894454956055,168929.0,11621927460.0
43,5.547382354736328,189156.0,14832253270.0
45,5.428516864776611,180293.0,18522113943.0
47,5.492984771728516,182174.0,22778494207.0
49,5.564111232757568,192649.0,27228685078.0
51,5.865367650985718,194912.0,32000733246.0
53,5.421655178070068,207432.0,37470999623.0
55,5.637587785720825,245685.0,43673211095.0
57,5.7701592445373535,235092.0,50331350207.0
59,5.49622368812561,262323.0,57522244219.0
61,5.822912693023682,275226.0,65612374852.0
63,5.619699716567993,270590.0,74696289762.0
65,24.54617190361023,291744.0,85837199688.0
67,35.54269194602966,287049.0,111893405276.0
69,37.29830002784729,329671.0,146606546867.0
71,38.73779892921448,332298.0,184883304241.0
73,40.11172914505005,371313.0,225745743547.0
75,38.865063428878784,351787.0,268943954335.0
77,39.93163347244263,375177.0,315821822382.0
79,50.69102478027344,392397.0,367018601504.0
