size,average_time,average_memory,average_flops
5,0.00782465934753418,42530.0,11261.0
7,0.014805793762207031,60564.0,116955.0
9,0.042771100997924805,82753.0,532760.0
11,0.07128715515136719,82391.0,2065396.0
13,0.1321396827697754,88714.0,5188819.0
15,0.09500932693481445,85289.0,10755517.0
17,0.23537683486938477,92699.0,21139165.0
19,0.4390113353729248,93329.0,47384771.0
21,0.5679144859313965,95798.0,92099228.0
23,0.561434268951416,105045.0,155096658.0
25,0.4838125705718994,108107.0,232537758.0
27,0.48898839950561523,119851.0,329349192.0
29,0.48650455474853516,107057.0,453472335.0
31,0.511587381362915,107989.0,611812637.0
33,1.4558093547821045,113544.0,839705686.0
35,2.658015012741089,122151.0,1313375220.0
37,2.9423108100891113,129337.0,2039007769.0
39,3.172564744949341,148584.0,2931155241.0
41,3.260009288787842,131244.0,3942593483.0
43,3.013681650161743,130303.0,5083456667.0
45,3.3391036987304688,192801.0,6414597320.0
47,3.3347809314727783,140999.0,7982560228.0
49,3.3238468170166016,173347.0,9606365891.0
51,3.3291385173797607,216453.0,11322613991.0
53,3.3082945346832275,209692.0,13324516684.0
55,3.318861722946167,245523.0,15637830058.0
57,3.093355655670166,230881.0,18125669306.0
59,3.261029005050659,200755.0,20824753592.0
61,3.29533052444458,214448.0,23900900633.0
63,3.3354201316833496,241037.0,27405164167.0
65,10.882824182510376,274980.0,31906943847.0
67,19.27822756767273,280974.0,40316288299.0
69,20.626747131347656,284705.0,52525727084.0
71,25.294228553771973,286175.0,66488144360.0
73,22.471199989318848,294807.0,81569390044.0
75,23.299638271331787,297055.0,97621552026.0
77,21.33660101890564,341395.0,115179900681.0
79,19.407211303710938,329801.0,134589657519.0
