size,average_time,average_memory,average_flops
5,0.02053689956665039,45892.0,22827.0
7,0.023585796356201172,41748.0,145131.0
9,0.11517524719238281,46967.0,539352.0
11,0.1350874900817871,56172.0,2120556.0
13,0.14818167686462402,85489.0,4533024.0
15,0.15116477012634277,78465.0,7789428.0
17,0.7740025520324707,84761.0,13727105.0
19,0.9197649955749512,82539.0,34847091.0
21,0.9568257331848145,90252.0,63435787.0
23,1.0098011493682861,87187.0,97569929.0
25,0.9020566940307617,95820.0,137300837.0
27,0.9405331611633301,101491.0,184963939.0
29,0.8540654182434082,89995.0,238848459.0
31,0.9012589454650879,104475.0,299129645.0
33,5.017964124679565,95571.0,388346366.0
35,6.288057327270508,100691.0,676673466.0
37,5.787073373794556,103483.0,1038140656.0
39,6.004156112670898,130879.0,1440254624.0
41,5.958994150161743,113279.0,1881569648.0
43,5.558758497238159,128477.0,2366803960.0
45,5.594479560852051,122039.0,2890947402.0
47,5.56615686416626,142623.0,3454283798.0
49,4.836986541748047,188085.0,4060513646.0
51,5.982994556427002,175999.0,4746145230.0
53,5.784828186035156,183322.0,5481914704.0
55,6.037842273712158,203711.0,6262386644.0
57,5.437175273895264,178495.0,7087241156.0
59,5.317974328994751,226559.0,7967851936.0
61,4.972292423248291,231237.0,8894512662.0
63,4.7230072021484375,245450.0,9867581174.0
65,28.86831045150757,283631.0,11179732567.0
67,43.070176124572754,255263.0,15170275209.0
69,36.72191023826599,260282.0,19952269433.0
71,30.054375410079956,268570.0,25046409079.0
73,29.29879069328308,299018.0,30427512869.0
75,31.024882793426514,343855.0,36094937303.0
77,34.6129412651062,340271.0,42031068155.0
79,40.688207387924194,340853.0,48236641841.0
